Mean Arterial Pressure ,MAP,438,n
Mean Arterial Pressure ,map,1321,n
Heart Rate,Heart Rate cv,211,n
Heart Rate,Heart Rate mv,220045,n
Oxygen Saturation,SpO2,646,n
Oxygen Saturation,SpO2 Alarm [Low],5820,n
Oxygen Saturation,SpO2 Alarm [High],8554,n
Oxygen Saturation,SpO2 Desat Limit,226253,n
Intracranial Pressure,ICP,226,n
Intracranial Pressure,ICP Right,1374,n
Intracranial Pressure,ICP Alarm [Low],5816,n
Intracranial Pressure,VENT ICP,2635,n
Intracranial Pressure,ICP Camino,2660,n
Intracranial Pressure,RIGHT VENT ICP,2733,n
Intracranial Pressure,ICP LEFT,2745,n
Intracranial Pressure,ICP-ventriculostomuy,2870,n
Intracranial Pressure,ICP ventricle,2985,n
Intracranial Pressure,L ICP,8298,n
Intracranial Pressure,R ICP,8299,n
Intracranial Pressure,ICP  Right,8305,n
Intracranial Pressure,Rt ICP,7116,n
Intracranial Pressure,ICP Alarm [High],8550,n
